,datetime,r_sen_2,avg_sen_2,std_sen_2,last_water,dow
74,2020-08-13 03:21:27,0,0.0,0.0,5 days 13:40:56,3
75,2020-08-13 03:31:27,0,0.0,0.0,5 days 13:50:56,3
76,2020-08-13 03:41:27,0,0.0,0.0,5 days 14:00:56,3
77,2020-08-13 03:51:27,0,0.0,0.0,5 days 14:10:56,3
78,2020-08-13 04:01:27,0,0.0,0.0,5 days 14:20:56,3
79,2020-08-13 04:11:27,0,0.0,0.0,5 days 14:30:56,3
80,2020-08-13 04:21:27,0,0.0,0.0,5 days 14:40:56,3
81,2020-08-13 04:31:27,0,0.0,0.0,5 days 14:50:56,3
82,2020-08-13 04:41:27,0,0.0,0.0,5 days 15:00:56,3
83,2020-08-13 04:51:27,0,0.0,0.0,5 days 15:10:56,3
84,2020-08-13 05:01:27,0,0.0,0.0,5 days 15:20:56,3
85,2020-08-13 05:11:27,0,0.0,0.0,5 days 15:30:56,3
86,2020-08-13 05:21:27,0,0.0,0.0,5 days 15:40:56,3
87,2020-08-13 05:31:27,0,0.0,0.0,5 days 15:50:56,3
88,2020-08-13 05:41:27,0,0.0,0.0,5 days 16:00:56,3
89,2020-08-13 05:51:27,0,0.0,0.0,5 days 16:10:56,3
90,2020-08-13 06:01:27,0,0.0,0.0,5 days 16:20:56,3
91,2020-08-13 06:11:27,0,0.0,0.0,5 days 16:30:56,3
92,2020-08-13 06:21:27,0,0.0,0.0,5 days 16:40:56,3
93,2020-08-13 06:31:27,0,0.0,0.0,5 days 16:50:56,3
94,2020-08-13 06:41:27,0,0.0,0.0,5 days 17:00:56,3
95,2020-08-13 06:51:27,0,0.0,0.0,5 days 17:10:56,3
96,2020-08-13 07:01:27,0,0.0,0.0,5 days 17:20:56,3
97,2020-08-13 07:11:27,0,0.0,0.0,5 days 17:30:56,3
98,2020-08-13 07:21:27,0,0.0,0.0,5 days 17:40:56,3
99,2020-08-13 07:31:27,0,0.0,0.0,5 days 17:50:56,3
100,2020-08-13 07:41:27,0,0.0,0.0,5 days 18:00:56,3
101,2020-08-13 07:51:27,0,0.0,0.0,5 days 18:10:56,3
102,2020-08-13 08:01:27,0,0.0,0.0,5 days 18:20:56,3
103,2020-08-13 08:11:27,0,0.0,0.0,5 days 18:30:56,3
104,2020-08-13 08:21:27,0,0.0,0.0,5 days 18:40:56,3
105,2020-08-13 08:31:27,0,0.0,0.0,5 days 18:50:56,3
106,2020-08-13 08:41:27,0,0.0,0.0,5 days 19:00:56,3
